sku,name,bodega,region,grape,vintage,category,classification_slug,pvp_eur,vista,nariz,boca,curiosidad
TAS-W-HONOROVERA,Honoro Vera Monastrell,Bodegas Juan Gil,Jumilla,Monastrell,2023,tinto,joven,7.00,Rojo picota intenso con ribete violáceo.,"Fruta negra y roja madura, toques de violeta y un fondo mentolado.","Potente y carnoso, con buena concentración frutal y un punto mineral.","Monastrell de secano sobre suelos calizos y pobres, sin riego: enorme relación calidad-precio."
TAS-W-RB-CRIANZA,Ramón Bilbao Crianza,Bodegas Ramón Bilbao,Rioja,Tempranillo,2020,tinto,crianza,10.30,"Rojo granate de capa media, limpio y brillante.","Fruta negra (mora, zarzamora), regaliz y dulces de crianza (vainilla, canela).","Intenso, de acidez y cuerpo medios, con taninos bien integrados.",El Rioja crianza de manual: 100% Tempranillo con paso por barrica de roble americano.
TAS-W-PROTOS-RBL,Protos Roble,Bodegas Protos,Ribera del Duero,Tempranillo,2023,tinto,roble,9.50,"Rojo cereza con ribete púrpura, limpio y brillante.","Expresivo y potente: fruta fresca, bayas rojas y especias dulces.","Sabroso y afrutado, con notas tostadas y taninos redondos.",Roble joven de Ribera del Duero: 100% Tempranillo con unos meses en barrica americana.
TAS-W-MURRIETA-RV,Marqués de Murrieta Reserva,Marqués de Murrieta,Rioja,"Tempranillo, Garnacha, Mazuelo",2017,tinto,reserva,24.50,Rojo cereza picota de capa media.,"Frutos rojos maduros y notas especiadas, con elegante fondo de crianza.","Elegante y profundo, equilibrado, de tanino redondo y larga persistencia.",Coupage clásico de Rioja (Tempranillo con Garnacha y Mazuelo) con larga crianza en barrica.
TAS-W-TONDONIA-GR,Viña Tondonia Gran Reserva,R. López de Heredia,Rioja,"Tempranillo, Garnacho, Mazuelo",2012,tinto,gran_reserva,80.00,"Rojo rubí evolucionado, con reflejos teja hacia el ribete.","Compleja y tradicional: fruta seca, vainilla, especias dulces y notas balsámicas.","Ligero y fresco en textura, muy seco y elegante, de tanino fino y final larguísimo.",Ícono del Rioja tradicional: crianzas muy largas en barrica vieja antes de salir al mercado.
TAS-W-MC-VERDEJO,Marqués de Cáceres Verdejo,Marqués de Cáceres,Rueda,Verdejo,2023,blanco,deposito_inerte,5.00,"Amarillo pajizo con reflejos verdosos, muy brillante.","Muy varietal: anís y heno fresco del Verdejo, cítricos y flores silvestres.","Buen ataque y amplitud, fruta viva y un fino toque amargo de pomelo.",Verdejo joven de Rueda servido bien frío (7–10 °C): el blanco de aperitivo por excelencia.
TAS-W-NAIA-VERD,Naia Verdejo,Bodegas Naia,Rueda,Verdejo,2024,blanco,lias_sin_battonage,8.85,Amarillo pajizo limpio y brillante.,"Manzana verde y pera madura, fondo cítrico (pomelo, lima) y toque herbáceo.","Fresco y sabroso, de entrada ligera y paso untuoso, con final ligeramente amargo.",Verdejo con 4 meses sobre lías finas en acero: untuosidad sin perder frescor varietal.
TAS-W-SENORANS,Pazo de Señorans Albariño,Pazo de Señorans,Rías Baixas,Albariño,2024,blanco,lias_sin_battonage,14.80,"Amarillo pálido con reflejos verdosos, brillante.","Intensamente aromático: fruta blanca (manzana, pera), cítricos y toques florales.","Vivo y fresco, de acidez equilibrada que realza la fruta.",Albariño atlántico con crianza sobre lías: salino y longevo, sorprende a quien espera tinto.
TAS-W-MARFRADES,Mar de Frades Albariño,Mar de Frades,Rías Baixas,Albariño,2024,blanco,deposito_inerte,17.05,Amarillo limón con vislumbres dorados y reflejo verde.,"Fruta de pepita (manzana verde, pera blanquilla) con delicado fondo floral.","Recorrido garboso y fresco, con final salino y notas minerales.",Albariño 100% de Rías Baixas con elegantes recuerdos marinos; la botella vira de color al frío.
TAS-W-CIRSUS-ROSE,Pago de Cirsus Rosé Gran Cuvée,Pago de Cirsus,Navarra,Garnacha,2024,rosado,roble,8.00,Rosa pálido con tonos fucsia.,"Fresa y frutos rojos, flores blancas y un sutil toque de vainilla del roble.","Ligero y equilibrado, con buena tensión entre suavidad y acidez.",Rosado de Navarra con fermentación en barrica de roble francés: más gastronómico que el rosado de aperitivo.
TAS-W-JUVE-RF,Juvé y Camps Reserva de la Familia,Juvé y Camps,Cava,"Macabeo, Xarel·lo, Parellada",2019,cava,brut_nature,18.90,Amarillo dorado pálido con burbuja fina y persistente.,"Fruta blanca madura (manzana, pera), cítricos y leves notas de pan tostado.","Noble y amplio, fresco, con burbuja delicada y final de fruta madura.",Cava Gran Reserva Brut Nature (sin azúcar añadido) con 36 meses de crianza: la trilogía Macabeo-Xarel·lo-Parellada.
TAS-W-RAVENTOS-BB,Raventós i Blanc Blanc de Blancs,Raventós i Blanc,Conca del Riu Anoia,"Macabeo, Xarel·lo, Parellada",2022,espumoso,color_blanco,30.00,"Amarillo pálido con reflejos dorados y burbuja muy fina.","Cítricos confitados (limón, pomelo rosa), flores blancas, anís y un fondo mineral.","Volumen y equilibrio, con frescura y un final largo y mineral.",Espumoso de método tradicional: la familia Raventós dejó la D.O. Cava en 2012 por su propia Conca del Riu Anoia.
